id,title,source_url,topic_category,notes
R127,"A Glycol/Water Co-Condensation Model to Investigate the Influence of Monoethylene Glycol on Top-of-the-Line Corrosion",https://www.researchgate.net/publication/312965844_A_GlycolWater_Co-Condensation_Model_to_Investigate_the_Influence_of_Monoethylene_Glycol_on_Top-of-the-Line_Corrosion,TLC / glycol,Mechanistic co-condensation model with MEG
R128,"The Influence of Mono Ethylene Glycol (MEG) on CO2 Corrosion of Carbon Steel at Elevated Temperatures (80-120C)",https://www.academia.edu/12879448/The_Influence_of_Mono_Ethylene_Glycol_MEG_on_CO2_Corrosion_of_Carbon_Steel_at_Elevated_Temperatures_80_to_120oc_,TLC / glycol,MEG effect at elevated temperature
R129,"Corrosion of carbon steel under condensing water and monoethylene glycol",https://www.sciencedirect.com/science/article/abs/pii/S0010938X17303645,TLC / glycol,Condensation + glycol study
R130,"Polypropylene glycol: A novel corrosion inhibitor for X60 pipeline steel in 15% HCl solution",https://www.sciencedirect.com/science/article/abs/pii/S016773221530595X,Inhibitors,Glycol-based inhibitor for X60 (acid pickling context)
R131,"Advanced Machine Learning Techniques for Corrosion Rate Estimation and Prediction in Industrial Cooling Water Pipelines",https://pmc.ncbi.nlm.nih.gov/articles/PMC11175261/,ML prediction,Open-access ML techniques benchmarking (cooling water analog)
R132,"Transfer learning-driven prediction of oil and gas pipeline corrosion rates in small sample scenarios",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0333914,ML prediction,Open-access transfer learning for small datasets
R133,"A deep learning framework integrating Transformer and LSTM architectures for pipeline corrosion rate forecasting",https://www.researchgate.net/publication/394884844_A_deep_learning_framework_integrating_Transformer_and_LSTM_architectures_for_pipeline_corrosion_rate_forecasting,ML prediction,Transformer-LSTM hybrid forecasting model
R134,"Prediction of quantitative in-situ local corrosion via deep learning",https://www.sciencedirect.com/science/article/abs/pii/S0010938X24006267,ML prediction,Deep learning for local/pitting corrosion quantification
R135,"The Microbiologically Influenced Corrosion and Protection of Pipelines: A Detailed Review",https://pmc.ncbi.nlm.nih.gov/articles/PMC11509198/,MIC,Open-access detailed MIC review
R136,"Microbiologically influenced corrosion (MIC) - book chapter",https://www.sciencedirect.com/science/article/pii/B9780081011058000085,MIC,Book chapter on MIC fundamentals
R137,"Microbiologically influenced corrosion of oil-water pipeline steel: field failure case (Shewanella & Desulfovibrio)",https://www.sciencedirect.com/science/article/abs/pii/S1567539425002324,MIC,Field failure case study with bacterial identification
R138,"Inhibition Effect of Pseudomonas stutzeri on the Corrosion of X70 Pipeline Steel Caused by Sulfate-Reducing Bacteria",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10096010/,MIC / inhibitors,Open-access biocontrol of SRB-induced corrosion
R139,"Extracellular Electron Transfer Is a Bottleneck in the Microbiologically Influenced Corrosion of C1018 Carbon Steel by Desulfovibrio vulgaris Biofilm",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4550239/,MIC,Open-access electron-transfer mechanism study
R140,"The Global Cost and Impact of Corrosion (NACE IMPACT study summary)",https://inspectioneering.com/news/2016-03-08/5202/nace-study-estimates-global-cost-of-corrosion-at-25-trillion-ann,Economics,Summary of NACE global corrosion cost study (US$2.5 trillion)
R141,"Corrosion Costs and Preventive Strategies in the United States (FHWA/NACE report)",https://rosap.ntl.bts.gov/view/dot/39217/dot_39217_DS1.pdf,Economics,Open-access national corrosion cost report
R142,"NACE IMPACT - Pipelines economic impact page",http://impact.nace.org/pipelines.aspx,Economics,Industry economic-impact resource on pipelines
R143,"NACE IMPACT - Economic Impact overview",http://impact.nace.org/economic-impact.aspx,Economics,Overview of corrosion economic impact methodology
R144,"Effect of Jet Impingement Velocity and Angle on CO2 Erosion-Corrosion with and without Sand for API 5L-X65 Carbon Steel",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7254241/,Erosion-corrosion,Open-access jet impingement erosion-corrosion study
R145,"Pitting Corrosion and Microstructure of J55 Carbon Steel Exposed to CO2/Crude Oil/Brine Solution under 2-15 MPa at 30-80C",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6317236/,Pitting / wellbore,Open-access wellbore-condition pitting study (J55 steel)
R146,"Eco-friendly 2-Thiobarbituric acid as a corrosion inhibitor for API 5L X60 steel in simulated sweet oilfield environment",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351524/,Inhibitors,Open-access green-inhibitor study for X60 steel
R147,"Requirement and Calculation of Corrosion Allowance for Piping and Valves in the Oil and Gas Industry",https://link.springer.com/article/10.1007/s40735-019-0319-4,Design / corrosion allowance,Methodology for corrosion-allowance calculation
R148,"Corrosion Modeling for CO2 Injection: Ensuring Integrity in Class VI Wells with OLI Software",https://olisystems.com/resources/blog/corrosion-modeling-for-co2-injection-ensuring-integrity-in-class-vi-wells-with-oli-software/,CCS / well integrity,Industry blog on simulation-based corrosion modeling for CO2 injection wells
R149,"Well completion and integrity evaluation for CO2 injection wells",https://ideas.repec.org/a/eee/rensus/v45y2015icp556-564.html,CCS / well integrity,Well completion/integrity evaluation study
R150,"Well Engineering and Injection Regularity in CO2 Storage Wells (IEAGHG technical report)",https://publications.ieaghg.org/technicalreports/2018-08%20Well%20Engineering%20and%20Injection%20Regularity%20in%20CO2%20Storage%20Wells.pdf,CCS / well integrity,Open-access IEAGHG technical report
R151,"Guidelines for the Selection of Corrosion Resistant Alloys",https://www.osti.gov/servlets/purl/2576679,Materials selection,Open-access OSTI guideline document on CRA selection
R152,"CCS Well Design Requirements (SINTEF report)",https://standard.no/globalassets/fagomrader-sektorer/petroleum/reports/sintef-report_2024-00065_ccs-well-design-requirements_rev_5_final_report.pdf,CCS / well integrity,Open-access SINTEF technical report on CCS well design
R153,"Modeling and experimental study of CO2 corrosion on carbon steel at elevated pressure and temperature",https://www.sciencedirect.com/science/article/abs/pii/S1875510015302389,Mechanistic modeling,Combined modeling + experimental elevated P/T study
R154,"On Methodology for Reliable Corrosion Testing of Pipeline Steel in Dense Phase CO2",https://content.ampp.org/corrosion/article/81/12/1151/106724/On-Methodology-for-Reliable-Corrosion-Testing-of,Methodology / dense phase,AMPP methodology paper for dense-phase CO2 testing
R155,"Reviewing machine learning of corrosion prediction in a data-oriented perspective",https://www.nature.com/articles/s41529-022-00218-4,ML review,Open-access npj Materials Degradation review of ML corrosion prediction
R156,"Machine learning models for predicting the corrosion behavior of a plain carbon steel in simulated marine environment",https://www.sciencedirect.com/science/article/abs/pii/S1226086X25006938,ML prediction (analog),Marine-environment ML benchmark (cross-domain reference)
R157,"Machine Learning-Based Prediction of Multi-Year Cumulative Atmospheric Corrosion Loss in Low-Alloy Steels with SHAP Analysis",https://www.mdpi.com/2079-6412/16/4/488,ML prediction (analog),Open-access SHAP-based feature-importance ML study (atmospheric analog)
R158,"Machine Learning-Driven Prediction of Corrosion Inhibitor Efficiency: Emerging Algorithms, Challenges, and Future Outlooks",https://link.springer.com/article/10.1007/s13369-025-10386-5,ML review / inhibitors,Review of ML for inhibitor efficiency prediction
R159,"Machine learning-based prediction of pitting corrosion resistance in stainless steels exposed to chloride environments",https://www.sciencedirect.com/science/article/abs/pii/S0927775723013584,ML prediction (analog),Pitting-resistance ML study (stainless steel analog)
R160,"Prediction model for corrosion rate of low-alloy steels under atmospheric conditions using machine learning algorithms",https://link.springer.com/article/10.1007/s12613-023-2679-5,ML prediction (analog),Atmospheric corrosion ML benchmark study
R161,"Transfer learning-driven prediction of oil and gas pipeline corrosion rates in small sample scenarios (PMC open access copy)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12530524/,ML prediction,Open-access copy of R132
R162,"Data-driven pitting evolution prediction for corrosion-resistant alloys by time-series analysis",https://www.nature.com/articles/s41529-022-00307-4,ML prediction (analog),Time-series data-driven pitting evolution study
